12,13,6010,RHO,rhodopsin,17,G-protein coupled receptor activity|11-cis retinal binding|G-protein coupled photoreceptor activity,glaucoma|sensorineural hearing loss|Zollinger-Ellison syndrome|hyperinsulinism|hypogonadism|corneal disease|keratoconus|intellectual disability|learning disability|night blindness|congenital stationary night blindness|spontaneous ocular nystagmus|dissociated nystagmus|congenital nystagmus|pathologic nystagmus|obesity|ophthalmoplegia|optic atrophy|retinal degeneration|cone-rod dystrophy,ppi
13,14,6011,GRK1,G protein-coupled receptor kinase 1,9,protein kinase activity|rhodopsin kinase activity,night blindness|congenital stationary night blindness|hereditary night blindness,ppi
14,15,6014,RIT2,Ras like without CAAX 2,17,GTPase activity|calmodulin binding|GTP binding|identical protein binding,,ppi
15,16,6015,RING1,ring finger protein 1,82,,,ppi
16,17,8737,RIPK1,receptor interacting serine/threonine kinase 1,108,protein kinase activity|protein serine/threonine kinase activity|protein-containing complex binding|JUN kinase kinase kinase activity,,ppi
17,18,255877,BCL6B,B-cell CLL/lymphoma 6B,18,DNA-binding transcription factor activity; RNA polymerase II-specific|DNA binding|RNA polymerase II regulatory region sequence-specific DNA binding|DNA-binding transcription repressor activity; RNA polymerase II-specific,,ppi
18,19,8767,RIPK2,receptor interacting serine/threonine kinase 2,84,protein serine/threonine kinase activity|protein homodimerization activity|CARD domain binding|JUN kinase kinase kinase activity,inflammatory bowel disease|ulcerative colitis,ppi
19,20,11035,RIPK3,receptor interacting serine/threonine kinase 3,108,transcription coactivator activity|protein kinase activity|protein serine/threonine kinase activity|protein-containing complex binding,calcium metabolism disease|nephrocalcinosis|calcinosis|heart valve disease,ppi
20,21,6016,RIT1,Ras like without CAAX 1,22,GTPase activity|calmodulin binding|GTP binding,sick sinus syndrome|ptosis|congenital ptosis|blood coagulation disease|cardiomyopathy|hypertrophic cardiomyopathy|endomyocardial fibrosis|cryptorchidism|enophthalmos|orbital disease|exophthalmos|atrial heart septal defect 1|atrial heart septal defect 2|atrial heart septal defect 3|atrial heart septal defect 4|atrial heart septal defect 5|atrial heart septal defect 6|atrial heart septal defect 7|atrial heart septal defect 8|atrial heart septal defect 9,ppi
21,22,6017,RLBP1,retinaldehyde binding protein 1,3,,blue color blindness|color blindness|red-green color blindness|red color blindness|achromatopsia|acquired color blindness|glaucoma|sensorineural hearing loss|Zollinger-Ellison syndrome|hyperinsulinism|hypogonadism|corneal disease|keratoconus|retinitis pigmentosa 30|age related macular degeneration|macular degeneration|intellectual disability|learning disability|night blindness|congenital stationary night blindness,ppi
22,23,6018,RLF,rearranged L-myc fusion,17,DNA-binding transcription factor activity; RNA polymerase II-specific|DNA binding|zinc ion binding,,ppi
23,24,6013,RLN1,relaxin 1,1,,,ppi
24,25,6019,RLN2,relaxin 2,2,,prostate cancer|prostate carcinoma,ppi
25,26,605,BCL7A,BCL tumor suppressor 7A,52,,,ppi
26,27,6035,RNASE1,ribonuclease A family member 1; pancreatic,6,ribonuclease activity,,ppi
27,28,6036,RNASE2,ribonuclease A family member 2,3,ribonuclease activity|lipopolysaccharide binding,,ppi
28,29,6037,RNASE3,ribonuclease A family member 3,13,lipopolysaccharide binding|ribonuclease activity,asthma|intrinsic asthma|allergic asthma,ppi
29,30,6038,RNASE4,ribonuclease A family member 4,1,ribonuclease A activity|ribonuclease activity,prostate cancer|prostate carcinoma,ppi
30,31,6039,RNASE6,ribonuclease A family member k6,1,ribonuclease activity,gallbladder disease|liver disease|toxic encephalopathy,ppi
31,32,9275,BCL7B,BCL tumor suppressor 7B,30,actin binding,,ppi
32,33,6041,RNASEL,ribonuclease L,14,RNA binding|endoribonuclease activity,prostate cancer|prostate carcinoma,ppi
33,34,9921,RNF10,ring finger protein 10,62,ubiquitin-protein transferase activity|transcription regulatory region DNA binding,,ppi
34,35,26994,RNF11,ring finger protein 11,110,DNA binding|ubiquitin-protein transferase activity|zinc ion binding,,ppi
35,36,11342,RNF13,ring finger protein 13,37,ubiquitin-protein transferase activity|ubiquitin protein ligase activity,,ppi
36,37,9604,RNF14,ring finger protein 14,30,transcription coactivator activity|ubiquitin-like protein transferase activity|ubiquitin conjugating enzyme binding|ubiquitin protein ligase activity,,ppi
37,38,10475,TRIM38,tripartite motif containing 38,27,,,ppi
38,39,9274,BCL7C,BCL tumor suppressor 7C,65,,malignant glioma|benign ependymoma|myxopapillary ependymoma|cellular ependymoma|tanycytic ependymoma|papillary ependymoma,ppi
39,40,56163,RNF17,ring finger protein 17,3,,,ppi
40,41,6045,RNF2,ring finger protein 2,722,chromatin binding|zinc ion binding|ubiquitin-protein transferase activity,,ppi
41,42,56254,RNF20,ring finger protein 20,120,p53 binding|transcription coactivator activity|mRNA 3'-UTR binding|ubiquitin-protein transferase activity|histone binding,,ppi
42,43,53840,TRIM34,tripartite motif containing 34,7,,,ppi
43,44,10612,TRIM3,tripartite motif containing 3,20,protein C-terminus binding|ubiquitin protein ligase activity,,ppi
44,45,56658,TRIM39,tripartite motif containing 39,82,,,ppi
45,46,10336,PCGF3,polycomb group ring finger 3,40,DNA-binding transcription factor activity|RNA polymerase II regulatory region sequence-specific DNA binding,,ppi
46,47,6047,RNF4,ring finger protein 4,57,DNA binding|DNA-binding transcription factor activity|transcription coactivator activity|ubiquitin-protein transferase activity|zinc ion binding|nucleosome binding|SUMO polymer binding|androgen receptor binding|ubiquitin protein ligase activity|transcription factor binding,,ppi
47,48,6048,RNF5,ring finger protein 5,55,ubiquitin-protein transferase activity|zinc ion binding|ubiquitin protein ligase activity|ubiquitin-like protein conjugating enzyme binding,,ppi
48,49,6049,RNF6,ring finger protein 6,9,ubiquitin-protein transferase activity,tongue squamous cell carcinoma|squamous cell carcinoma|esophageal cancer|esophageal carcinoma|squamous cell neoplasm,ppi
49,50,9616,RNF7,ring finger protein 7,61,copper ion binding|NEDD8 transferase activity|cullin family protein binding|ubiquitin protein ligase activity,,ppi
50,51,9025,RNF8,ring finger protein 8,62,chromatin binding|ubiquitin-protein transferase activity|zinc ion binding|histone binding|protein homodimerization activity,autistic disorder,ppi
51,52,10107,TRIM10,tripartite motif containing 10,25,,,ppi
52,53,8732,RNGTT,RNA guanylyltransferase and 5'-phosphatase,44,mRNA guanylyltransferase activity|polynucleotide 5'-phosphatase activity|RNA guanylyltransferase activity|triphosphatase activity,,ppi
53,54,6050,RNH1,ribonuclease/angiogenin inhibitor 1,50,ribonuclease inhibitor activity,,ppi
54,55,8731,RNMT,RNA guanine-7 methyltransferase,21,RNA binding|mRNA (guanine-N7-)-methyltransferase activity,,ppi
55,56,6051,RNPEP,arginyl aminopeptidase,9,aminopeptidase activity|epoxide hydrolase activity|metalloexopeptidase activity|zinc ion binding,,ppi
56,57,57140,RNPEPL1,arginyl aminopeptidase like 1,2,metalloaminopeptidase activity,,ppi
57,58,607,BCL9,B-cell CLL/lymphoma 9,8,,bipolar disorder|schizophreniform disorder|schizoaffective disorder|schizophrenia|neurotic disorder|endogenous depression|melancholia|ovarian cancer|major depressive disorder|mental depression,ppi
58,59,10921,RNPS1,RNA binding protein with serine rich domain 1,220,RNA binding|mRNA 3'-UTR binding,mood disorder,ppi
59,60,9311,ASIC3,acid sensing ion channel subunit 3,8,cation channel activity|sodium channel activity|acid-sensing ion channel activity,,ppi
60,62,613,BCR,BCR; RhoGEF and GTPase activating protein,96,protein tyrosine kinase activity|GTPase activator activity|kinase activity,bipolar disorder|enophthalmos|orbital disease|exophthalmos|placental insufficiency|clubfoot|communication disorder|language disorder|acute lymphocytic leukemia|chronic myeloid leukemia|intellectual disability|learning disability|myeloproliferative neoplasm|bone marrow cancer|thrombocytopenia|neurotic disorder|endogenous depression|melancholia|thrombocytosis|major depressive disorder,ppi
61,63,26507,CNNM1,cyclin and CBS domain divalent metal cation transport mediator 1,23,,melanoma|skin melanoma,ppi
62,64,617,BCS1L,BCS1 homolog; ubiquinol-cytochrome c reductase complex chaperone,25,,lactic acidosis|alopecia|hypohidrosis|anhidrosis|ptosis|congenital ptosis|blood coagulation disease|cardiomyopathy|hypertrophic cardiomyopathy|endomyocardial fibrosis|cerebellar disease|primary sclerosing cholangitis|sclerosing cholangitis|suppurative cholangitis|ascending cholangitis|cholangitis|cholestasis|sensorineural hearing loss|neurotic disorder|major depressive disorder,ppi
63,65,51808,PHAX,phosphorylated adaptor for RNA export,48,,,ppi
64,66,6091,ROBO1,roundabout guidance receptor 1,19,axon guidance receptor activity|identical protein binding,adenocarcinoma|granular cell carcinoma|tubular adenocarcinoma|cribriform carcinoma|adenoma|autistic disorder|lung benign neoplasm,ppi
65,67,6092,ROBO2,roundabout guidance receptor 2,23,axon guidance receptor activity|identical protein binding,autistic disorder|vesicoureteral reflux|bile duct carcinoma|bile duct adenocarcinoma|intrahepatic cholangiocarcinoma|cholangiocarcinoma,ppi
66,68,6093,ROCK1,Rho associated coiled-coil containing protein kinase 1,63,protein kinase activity|protein serine/threonine kinase activity,,ppi
67,69,9475,ROCK2,Rho associated coiled-coil containing protein kinase 2,33,RNA binding|protein serine/threonine kinase activity|structural molecule activity|Rho-dependent protein serine/threonine kinase activity,,ppi
68,70,9991,PTBP3,polypyrimidine tract binding protein 3,292,RNA binding,,ppi
69,71,6094,ROM1,retinal outer segment membrane protein 1,3,,glaucoma|sensorineural hearing loss|Zollinger-Ellison syndrome|hyperinsulinism|hypogonadism|corneal disease|keratoconus|intellectual disability|learning disability|night blindness|congenital stationary night blindness|spontaneous ocular nystagmus|dissociated nystagmus|congenital nystagmus|pathologic nystagmus|obesity|ophthalmoplegia|optic atrophy|cone-rod dystrophy|retinitis pigmentosa,ppi
70,72,4919,ROR1,receptor tyrosine kinase like orphan receptor 1,23,transmembrane receptor protein tyrosine kinase activity|Wnt-activated receptor activity|coreceptor activity involved in Wnt signaling pathway; planar cell polarity pathway|Wnt-protein binding|protein tyrosine kinase activity|transmembrane signaling receptor activity,bipolar disorder,ppi
71,73,4920,ROR2,receptor tyrosine kinase like orphan receptor 2,49,coreceptor activity involved in Wnt signaling pathway; planar cell polarity pathway|Wnt-protein binding|protein tyrosine kinase activity|transmembrane signaling receptor activity|transmembrane receptor protein tyrosine kinase activity,cryptorchidism|sensorineural hearing loss|enophthalmos|orbital disease|exophthalmos|gingival overgrowth|gingival hypertrophy|ventricular septal defect|inguinal hernia|umbilical hernia|omphalocele|hydronephrosis|intellectual disability|learning disability|syndactyly|ankyloglossia|cavernous hemangioma|capillary hemangioma|Klippel-Feil syndrome|spondylolisthesis,ppi
72,74,6095,RORA,RAR related orphan receptor A,29,RNA polymerase II regulatory region sequence-specific DNA binding|RNA polymerase II proximal promoter sequence-specific DNA binding|DNA-binding transcription factor activity; RNA polymerase II-specific|DNA-binding transcription activator activity; RNA polymerase II-specific|DNA binding|DNA-binding transcription factor activity|oxysterol binding|sequence-specific DNA binding|transcription factor activity; direct ligand regulated sequence-specific DNA binding|transcription coactivator binding,autistic disorder|bipolar disorder|neurotic disorder|major depressive disorder|mental depression|endogenous depression|melancholia|dysthymic disorder|stomach cancer,ppi
73,75,6096,RORB,RAR related orphan receptor B,22,,endometriosis of uterus|endometriosis,ppi
74,76,6097,RORC,RAR related orphan receptor C,43,RNA polymerase II proximal promoter sequence-specific DNA binding|DNA-binding transcription factor activity; RNA polymerase II-specific|proximal promoter DNA-binding transcription repressor activity; RNA polymerase II-specific|DNA-binding transcription factor activity|oxysterol binding|transcription factor activity; direct ligand regulated sequence-specific DNA binding|transcription coactivator binding,,ppi
75,77,6098,ROS1,ROS proto-oncogene 1; receptor tyrosine kinase,8,protein tyrosine kinase activity|transmembrane receptor protein tyrosine kinase activity|transmembrane signaling receptor activity,lung cancer|non-small cell lung carcinoma|malignant glioma|gliosarcoma|mixed glioma|melanoma|skin melanoma|lung adenocarcinoma,ppi
76,78,6101,RP1,RP1; axonemal microtubule associated,1,microtubule binding,glaucoma|sensorineural hearing loss|Zollinger-Ellison syndrome|hyperinsulinism|familial hypertriglyceridemia|hyperlipoproteinemia type IV|hypogonadism|corneal disease|keratoconus|intellectual disability|learning disability|night blindness|congenital stationary night blindness|spontaneous ocular nystagmus|dissociated nystagmus|congenital nystagmus|pathologic nystagmus|obesity|ophthalmoplegia|optic atrophy,ppi
77,79,622,BDH1,3-hydroxybutyrate dehydrogenase 1,20,3-hydroxybutyrate dehydrogenase activity,,ppi
78,80,6102,RP2,retinitis pigmentosa 2 (X-linked recessive),42,GTPase activator activity|unfolded protein binding,glaucoma|sensorineural hearing loss|Zollinger-Ellison syndrome|hyperinsulinism|hypogonadism|corneal disease|keratoconus|intellectual disability|learning disability|myopia|night blindness|congenital stationary night blindness|spontaneous ocular nystagmus|dissociated nystagmus|congenital nystagmus|pathologic nystagmus|obesity|ophthalmoplegia|optic atrophy|polycystic ovary syndrome,ppi
79,81,6100,RP9,retinitis pigmentosa 9 (autosomal dominant),10,RNA binding,glaucoma|sensorineural hearing loss|Zollinger-Ellison syndrome|hyperinsulinism|hypogonadism|corneal disease|keratoconus|intellectual disability|learning disability|night blindness|congenital stationary night blindness|spontaneous ocular nystagmus|dissociated nystagmus|congenital nystagmus|pathologic nystagmus|obesity|ophthalmoplegia|optic atrophy|cone-rod dystrophy|retinitis pigmentosa,ppi
80,82,6117,RPA1,replication protein A1,482,damaged DNA binding|single-stranded DNA binding|G-rich strand telomeric DNA binding|sequence-specific DNA binding|single-stranded telomeric DNA binding,,ppi
81,83,623,BDKRB1,bradykinin receptor B1,3,,complex partial epilepsy|temporal lobe epilepsy,ppi
82,84,6118,RPA2,replication protein A2,456,damaged DNA binding|single-stranded DNA binding|G-rich strand telomeric DNA binding|double-stranded DNA binding|protein binding|sequence-specific DNA binding,,ppi
83,85,6119,RPA3,replication protein A3,391,damaged DNA binding|single-stranded DNA binding,,ppi
84,86,6120,RPE,ribulose-5-phosphate-3-epimerase,48,ribulose-phosphate 3-epimerase activity|metal ion binding,,ppi
85,87,6121,RPE65,RPE65; retinoid isomerohydrolase,7,phosphatidylserine binding|retinal isomerase activity|isomerase activity|phosphatidylcholine binding|all-trans-retinyl-palmitate hydrolase; 11-cis retinol forming activity|all-trans-retinyl-ester hydrolase; 11-cis retinol forming activity|cardiolipin binding|carotenoid dioxygenase activity|beta-carotene 15;15'-monooxygenase activity,epilepsy|glaucoma|sensorineural hearing loss|Zollinger-Ellison syndrome|hyperinsulinism|hypogonadism|corneal disease|keratoconus|intellectual disability|learning disability|night blindness|congenital stationary night blindness|spontaneous ocular nystagmus|dissociated nystagmus|congenital nystagmus|pathologic nystagmus|obesity|ophthalmoplegia|optic atrophy|retinal degeneration,ppi
86,88,6103,RPGR,retinitis pigmentosa GTPase regulator,48,RNA binding,Kartagener syndrome|primary ciliary dyskinesia|blue color blindness|color blindness|red-green color blindness|red color blindness|achromatopsia|acquired color blindness|alternating exotropia|exotropia|monocular exotropia|glaucoma|sensorineural hearing loss|Zollinger-Ellison syndrome|hyperinsulinism|hyperopia|hypogonadism|primary ciliary dyskinesia 1|corneal disease|keratoconus,ppi
87,89,9501,RPH3AL,rabphilin 3A-like (without C2 domains),14,cytoskeletal protein binding,,ppi
88,90,22934,RPIA,ribose 5-phosphate isomerase A,32,ribose-5-phosphate isomerase activity,cerebellar disease|epilepsy|optic atrophy|polyneuropathy|peripheral nervous system disease|neuropathy|visual epilepsy|meningoencephalitis|critical illness polyneuropathy|inflammatory and toxic neuropathy,ppi
89,91,6134,RPL10,ribosomal protein L10,356,RNA binding|structural constituent of ribosome|translation regulator activity,autistic disorder|cryptorchidism|epilepsy|esophagitis|peptic esophagitis|gastroesophageal reflux disease|sensorineural hearing loss|prostate cancer|prostate carcinoma|visual epilepsy|acute T cell leukemia,ppi
90,92,4736,RPL10A,ribosomal protein L10a,187,RNA binding|structural constituent of ribosome,,ppi
91,93,54805,CNNM2,cyclin and CBS domain divalent metal cation transport mediator 2,6,,sick sinus syndrome|epilepsy|nephritis|glomerulonephritis|kidney disease|pyoureter|nephrosis|intellectual disability|learning disability|schizophrenia|visual epilepsy|hypoparathyroidism|pseudohypoparathyroidism|central nervous system origin vertigo|renal hypomagnesemia 6,ppi
92,94,624,BDKRB2,bradykinin receptor B2,21,phosphatidylinositol phospholipase C activity|bradykinin receptor activity,rheumatoid arthritis|bipolar disorder|complex partial epilepsy|temporal lobe epilepsy|hypertension|essential hypertension|neurotic disorder|endogenous depression|melancholia|cardiomyopathy|hypertrophic cardiomyopathy|endomyocardial fibrosis|major depressive disorder|mental depression,ppi
93,95,6135,RPL11,ribosomal protein L11,219,RNA binding|structural constituent of ribosome|5S rRNA binding|ubiquitin ligase inhibitor activity,anemia|macrocytic anemia|sick sinus syndrome|isolated cleft palate|cleft palate|migraine|humeroradial synostosis|cleidocranial dysplasia|radioulnar synostosis|polydactyly|Diamond-Blackfan anemia|congenital hypoplastic anemia,ppi
94,96,6136,RPL12,ribosomal protein L12,175,RNA binding|structural constituent of ribosome|rRNA binding,prostate cancer|prostate carcinoma,ppi
95,97,6137,RPL13,ribosomal protein L13,250,RNA binding|structural constituent of ribosome,stomach cancer,ppi
96,98,23521,RPL13A,ribosomal protein L13a,135,RNA binding|structural constituent of ribosome|mRNA binding,,ppi
97,99,9045,RPL14,ribosomal protein L14,248,RNA binding|structural constituent of ribosome|cadherin binding,papillary renal cell carcinoma|renal cell carcinoma|renal carcinoma|collecting duct carcinoma|renal clear cell carcinoma|chromophobe renal cell carcinoma|sarcomatoid renal cell carcinoma|Parkinson's disease,ppi
98,100,6138,RPL15,ribosomal protein L15,194,RNA binding|structural constituent of ribosome|cadherin binding,anemia|macrocytic anemia|sick sinus syndrome|isolated cleft palate|cleft palate|ventricular septal defect|stomach cancer|migraine|humeroradial synostosis|cleidocranial dysplasia|radioulnar synostosis|polydactyly|Diamond-Blackfan anemia|congenital hypoplastic anemia,ppi
99,101,6139,RPL17,ribosomal protein L17,162,RNA binding|structural constituent of ribosome,coronary artery disease,ppi
100,102,6141,RPL18,ribosomal protein L18,261,RNA binding|structural constituent of ribosome,stomach cancer,ppi
101,103,6142,RPL18A,ribosomal protein L18a,233,RNA binding|structural constituent of ribosome,,ppi
102,104,6143,RPL19,ribosomal protein L19,179,RNA binding|structural constituent of ribosome,,ppi
103,105,6144,RPL21,ribosomal protein L21,164,RNA binding|structural constituent of ribosome,alopecia|hypotrichosis,ppi
104,106,6146,RPL22,ribosomal protein L22,181,RNA binding|structural constituent of ribosome,,ppi
105,107,9349,RPL23,ribosomal protein L23,257,RNA binding|structural constituent of ribosome|ubiquitin ligase inhibitor activity|large ribosomal subunit rRNA binding,,ppi
106,108,6147,RPL23A,ribosomal protein L23a,235,RNA binding|structural constituent of ribosome|cadherin binding,Parkinson's disease|breast cancer,ppi
107,109,6150,MRPL23,mitochondrial ribosomal protein L23,61,RNA binding|structural constituent of ribosome,,ppi
108,110,6152,RPL24,ribosomal protein L24,198,RNA binding|structural constituent of ribosome|cadherin binding,,ppi
109,111,6154,RPL26,ribosomal protein L26,127,RNA binding|structural constituent of ribosome|mRNA 5'-UTR binding,anemia|macrocytic anemia|sick sinus syndrome|isolated cleft palate|cleft palate|aortic valve stenosis|migraine|Potter's syndrome|Diamond-Blackfan anemia|congenital hypoplastic anemia,ppi
110,112,6155,RPL27,ribosomal protein L27,156,RNA binding|structural constituent of ribosome,,ppi
111,113,6157,RPL27A,ribosomal protein L27a,162,RNA binding|structural constituent of ribosome,cerebellar disease|pancytopenia,ppi
112,114,627,BDNF,brain derived neurotrophic factor,18,growth factor activity,alcohol dependence|alcohol abuse|Alzheimer's disease 2|Alzheimer's disease 5|Alzheimer's disease 6|Alzheimer's disease 7|Alzheimer's disease 8|Alzheimer's disease 10|Alzheimer's disease 11|Alzheimer's disease 12|Alzheimer's disease 13|Alzheimer's disease 14|Alzheimer's disease 15|Alzheimer's disease|Pick's disease|cerebral degeneration|Reye syndrome|anorexia nervosa|autistic disorder|bipolar disorder,ppi
113,115,6158,RPL28,ribosomal protein L28,153,RNA binding|structural constituent of ribosome,,ppi
114,116,6159,RPL29,ribosomal protein L29,101,RNA binding|structural constituent of ribosome|cadherin binding,,ppi
115,117,6122,RPL3,ribosomal protein L3,208,RNA binding|structural constituent of ribosome,,ppi
116,118,6156,RPL30,ribosomal protein L30,217,RNA binding|structural constituent of ribosome,,ppi
117,119,6160,RPL31,ribosomal protein L31,272,RNA binding|structural constituent of ribosome,breast cancer,ppi
118,120,6161,RPL32,ribosomal protein L32,126,RNA binding|structural constituent of ribosome,,ppi
119,121,8678,BECN1,beclin 1,123,,colon cancer|colonic benign neoplasm|lung benign neoplasm|coronary thrombosis|myocardial infarction|silent myocardial infarction|acute myocardial infarction|schizophrenia|status epilepticus|Lewy body dementia,ppi
120,122,6164,RPL34,ribosomal protein L34,95,RNA binding|structural constituent of ribosome|cadherin binding,,ppi
121,123,11224,RPL35,ribosomal protein L35,164,RNA binding|mRNA binding|structural constituent of ribosome,,ppi
122,124,6165,RPL35A,ribosomal protein L35a,106,RNA binding|structural constituent of ribosome,anemia|macrocytic anemia|sick sinus syndrome|isolated cleft palate|cleft palate|ventricular septal defect|leukopenia|migraine|aplastic anemia|Diamond-Blackfan anemia|congenital hypoplastic anemia,ppi
123,125,6166,RPL36AL,ribosomal protein L36a like,60,,,ppi
124,126,6167,RPL37,ribosomal protein L37,42,RNA binding|structural constituent of ribosome,,ppi
125,127,6168,RPL37A,ribosomal protein L37a,247,RNA binding|structural constituent of ribosome,polycystic ovary syndrome,ppi
126,128,6169,RPL38,ribosomal protein L38,168,RNA binding|structural constituent of ribosome,,ppi
127,129,6170,RPL39,ribosomal protein L39,31,RNA binding|structural constituent of ribosome,,ppi
128,130,6123,RPL3L,ribosomal protein L3 like,41,RNA binding|structural constituent of ribosome,,ppi
129,131,6124,RPL4,ribosomal protein L4,228,RNA binding|structural constituent of ribosome,,ppi
130,132,6171,RPL41,ribosomal protein L41,8,RNA binding|mRNA 3'-UTR binding|structural constituent of ribosome|mRNA 5'-UTR binding,,ppi
131,133,6173,RPL36A,ribosomal protein L36a,46,RNA binding|structural constituent of ribosome,,ppi
132,134,55859,BEX1,brain expressed X-linked 1,17,,,ppi
133,135,6125,RPL5,ribosomal protein L5,247,RNA binding|mRNA 3'-UTR binding|structural constituent of ribosome|5S rRNA binding|mRNA 5'-UTR binding|ubiquitin ligase inhibitor activity,anemia|macrocytic anemia|sick sinus syndrome|cleft lip|isolated cleft palate|cleft palate|migraine|Diamond-Blackfan anemia|congenital hypoplastic anemia|acute T cell leukemia,ppi
134,136,6128,RPL6,ribosomal protein L6,327,DNA binding|RNA binding|structural constituent of ribosome|cadherin binding,Parkinson's disease,ppi
135,137,6129,RPL7,ribosomal protein L7,235,DNA binding|RNA binding|mRNA binding|structural constituent of ribosome,,ppi
136,138,6130,RPL7A,ribosomal protein L7a,194,RNA binding|structural constituent of ribosome|cadherin binding,,ppi
137,139,6132,RPL8,ribosomal protein L8,220,RNA binding|structural constituent of ribosome,,ppi
138,140,6133,RPL9,ribosomal protein L9,182,RNA binding|structural constituent of ribosome,,ppi
139,141,629,CFB,complement factor B,13,complement binding|serine-type endopeptidase activity,systemic lupus erythematosus|myasthenia gravis|pneumonia|age related macular degeneration|macular degeneration|degeneration of macula and posterior pole|age related macular degeneration 1|hemolytic-uremic syndrome,ppi
140,142,6175,RPLP0,ribosomal protein lateral stalk subunit P0,224,RNA binding|structural constituent of ribosome|large ribosomal subunit rRNA binding,,ppi
141,143,6176,RPLP1,ribosomal protein lateral stalk subunit P1,148,structural constituent of ribosome|protein kinase activator activity|ribonucleoprotein complex binding,,ppi
142,144,6181,RPLP2,ribosomal protein lateral stalk subunit P2,166,structural constituent of ribosome,,ppi
143,145,6182,MRPL12,mitochondrial ribosomal protein L12,155,RNA binding,,ppi
144,146,11222,MRPL3,mitochondrial ribosomal protein L3,52,RNA binding,cardiomyopathy|hypertrophic cardiomyopathy|endomyocardial fibrosis|liver disease|combined oxidative phosphorylation deficiency,ppi
145,147,6183,MRPS12,mitochondrial ribosomal protein S12,14,RNA binding|structural constituent of ribosome,,ppi
146,148,6184,RPN1,ribophorin I,178,RNA binding|dolichyl-diphosphooligosaccharide-protein glycotransferase activity,,ppi
147,149,6185,RPN2,ribophorin II,106,dolichyl-diphosphooligosaccharide-protein glycotransferase activity,prostate cancer|prostate carcinoma,ppi
148,150,6204,RPS10,ribosomal protein S10,189,RNA binding|structural constituent of ribosome,anemia|macrocytic anemia|sick sinus syndrome|isolated cleft palate|cleft palate|migraine|Diamond-Blackfan anemia|congenital hypoplastic anemia,ppi
149,151,6205,RPS11,ribosomal protein S11,222,RNA binding|structural constituent of ribosome,,ppi
150,152,6206,RPS12,ribosomal protein S12,129,RNA binding|structural constituent of ribosome,,ppi
151,153,6207,RPS13,ribosomal protein S13,218,RNA binding|mRNA binding|mRNA 5'-UTR binding|structural constituent of ribosome|small ribosomal subunit rRNA binding,,ppi
152,154,6208,RPS14,ribosomal protein S14,287,RNA binding|translation regulator activity|mRNA 5'-UTR binding|small ribosomal subunit rRNA binding|structural constituent of ribosome,aplastic anemia|essential thrombocythemia|myelodysplastic syndrome,ppi
153,155,6209,RPS15,ribosomal protein S15,163,DNA binding|RNA binding|structural constituent of ribosome,chronic lymphocytic leukemia|Richter's syndrome|stomach cancer,ppi
154,156,6210,RPS15A,ribosomal protein S15a,191,RNA binding|structural constituent of ribosome,,ppi
155,157,6217,RPS16,ribosomal protein S16,234,RNA binding|structural constituent of ribosome,,ppi
156,158,6218,RPS17,ribosomal protein S17,141,RNA binding|structural constituent of ribosome,anemia|macrocytic anemia|sick sinus syndrome|isolated cleft palate|cleft palate|migraine|aplastic anemia|Diamond-Blackfan anemia|congenital hypoplastic anemia,ppi
157,159,26505,CNNM3,cyclin and CBS domain divalent metal cation transport mediator 3,31,,,ppi
158,160,631,BFSP1,beaded filament structural protein 1,8,structural constituent of cytoskeleton,,ppi
159,161,6222,RPS18,ribosomal protein S18,208,RNA binding,,ppi
